id,standard,chapter_number,chapter_name,major_topic,subtopic,concept_tested,stem,option_a,option_b,option_c,option_d,correct_option,correct_answer_text,solution,formula_principle,common_misconception,difficulty,estimated_time,question_type,source_type,concept_family_id,family_size,syllabus_scope_status,generator_eligible_strict_cet,generator_eligible_extended_revision,review_status,syllabus_version,release_version
PHY-11-CH02-0098,11,2,Mathematical Methods,Vector Product,Magnitude from magnitudes and angle,Direct use of the defining formula for the vector product,Two vectors of magnitudes 4 units and 5 units are inclined at 30 degree. The magnitude of their vector product is,10 units,10 sqrt(3) units,20 units,2.5 units,A,10 units,|P x Q| = 4 x 5 x sin 30 = 20 x 0.5 = 10 units.,|P x Q| = P Q sin theta,Students use cos 30 in place of sin 30 while evaluating a vector product.,Medium,30 to 60 seconds,Formula Based,ORIGINAL,CF-7214ee31,8,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0099,11,2,Mathematical Methods,Vector Product,Area of a parallelogram,The magnitude of the vector product is the area of the parallelogram on the two vectors,Two adjacent sides of a parallelogram are represented by the vectors 3 i and 4 j. The area of the parallelogram is,6 square units,12 square units,7 square units,24 square units,B,12 square units,"|3 i x 4 j| = 12, so the area is 12 square units. Since the sides are perpendicular the figure is a rectangle of sides 3 and 4, which confirms the result.",Area of parallelogram = |P x Q|; area of triangle = |P x Q| / 2,Students use the triangle formula with the one half factor when the question asks for a parallelogram.,Medium,30 to 60 seconds,Application Based,ORIGINAL,CF-18619a05,2,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0100,11,2,Mathematical Methods,Vector Product,Angular momentum as a vector product,Angular momentum is the vector product of position vector and linear momentum,The angular momentum of a particle of linear momentum p at a position r relative to the origin is given by,r . p,p x r,r x p,|r| |p| always,C,r x p,"Angular momentum is defined as L = r x p. Its magnitude r p sin theta equals the momentum multiplied by the perpendicular distance of its line from the origin, and it vanishes for a particle moving directly towards or away from the origin.","L = r x p, with magnitude r p sin theta","Students write the factors in the order p x r, reversing the direction of the angular momentum.",Medium,30 to 60 seconds,Direct Concept,ORIGINAL,CF-05844b9d,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0101,11,2,Mathematical Methods,Vector Product,Vector product of parallel vectors,The vector product vanishes when the vectors are collinear,The vector product of two non zero collinear vectors is,"the null vector, of zero magnitude",a vector whose magnitude is the product of theirs,a vector directed along either of the two,a scalar equal to the product of their magnitudes,A,"the null vector, of zero magnitude","Collinear vectors are at 0 degree or 180 degree, and the sine of both angles is zero. The product therefore has zero magnitude and is the null vector. This is the standard test for two vectors being parallel.","|P x Q| = P Q sin theta, with sin 0 = sin 180 = 0",Students expect a non zero answer whenever both vectors are non zero.,Medium,30 to 60 seconds,Direct Concept,ORIGINAL,CF-c569c36b,3,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0102,11,2,Mathematical Methods,Vector Product,Vector product in component form,The two dimensional vector product reduces to a single k component,The vector product (2 i + 3 j) x (i + 2 j) is,k,7 k,-k,2 i + 6 j,A,k,"P x Q = (2 x 2 - 3 x 1) k = (4 - 3) k = k. The magnitude is 1, which is also the area of the parallelogram formed by the two vectors.","For plane vectors, P x Q = (Px Qy - Py Qx) k",Students forget that j x i equals -k and so add the two contributions instead of subtracting.,Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-46a12571,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0103,11,2,Mathematical Methods,Vector Product,Torque from components,Torque follows from the determinant form of r x F,A force F = 3 i + 2 j newton acts at the point whose position vector is r = 2 i + 3 j metre. The magnitude of the torque about the origin is,13 N m,5 N m,12 N m,0 N m,B,5 N m,"torque = (2 x 2 - 3 x 3) k = (4 - 9) k = -5 k N m. Its magnitude is 5 N m and it is directed along the negative z axis, so the rotation is clockwise as seen from the positive z axis.",torque = r x F = (x Fy - y Fx) k for vectors in the xy plane,"Students compute x Fx - y Fy, mixing the scalar and vector product patterns.",Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-2b301409,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0104,11,2,Mathematical Methods,Vector Product,Ratio of the two products,The ratio of the vector and scalar products gives the tangent of the angle,"For two non zero vectors, the magnitude of their vector product is sqrt(3) times their scalar product. The angle between the vectors is",30 degree,45 degree,90 degree,60 degree,D,60 degree,"P Q sin theta = sqrt(3) P Q cos theta gives tan theta = sqrt(3), so theta = 60 degree.",|P x Q| / (P . Q) = tan theta,"Students set sin theta equal to sqrt(3) and find no valid angle, since the sine cannot exceed one.",Hard,60 to 90 seconds,Mixed Concept,ORIGINAL,CF-ba1d51f0,2,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0105,11,2,Mathematical Methods,Vector Product,Recognising parallel vectors,Proportional components signal parallel vectors and a vanishing product,The vector product of i + 2 j + 3 k and 2 i + 4 j + 6 k is,6 i - 6 j + 6 k,3 i + 6 j + 9 k,2 i + 8 j + 18 k,the null vector,D,the null vector,"The second vector is exactly twice the first, so the two are parallel and the angle between them is zero. Since sin 0 = 0, the vector product is the null vector. Expanding the determinant gives the same result, as each of the three minors is 2 x 6 - 3 x 4 = 0 in turn.",P x Q = 0 when P and Q are parallel,Students expand the determinant mechanically without noticing that the two vectors are proportional.,Hard,60 to 90 seconds,Conceptual Trap,ORIGINAL,CF-590bbc55,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0106,11,2,Mathematical Methods,Vector Product,Area of a triangle,Half the magnitude of the vector product gives the area of the triangle,Two sides of a triangle are represented by the vectors 3 i + 4 j and 4 i + 3 j. The area of the triangle is,3.5 square units,7 square units,12.5 square units,12 square units,A,3.5 square units,"P x Q = (3 x 3 - 4 x 4) k = (9 - 16) k = -7 k, whose magnitude is 7. Half of this is 3.5 square units.",Area of triangle = |P x Q| / 2,Students omit the factor of one half and quote the parallelogram area for a triangle.,Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-18619a05,2,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0107,11,2,Mathematical Methods,Vector Product,Simultaneous vanishing of both products,The two products cannot both vanish for two non zero vectors,For two vectors P and Q it is found that both P . Q = 0 and P x Q = 0. It follows that,the two vectors are perpendicular to each other,the two vectors are parallel to each other,at least one of the two vectors must be a null vector,the two vectors are equal in magnitude,C,at least one of the two vectors must be a null vector,"If both magnitudes were non zero, the first condition would need cos theta = 0 and the second would need sin theta = 0. No angle satisfies both, since the squares of the sine and the cosine add to one. Hence at least one of the magnitudes must be zero.",P . Q = P Q cos theta and |P x Q| = P Q sin theta,Students pick perpendicular or parallel from habit without noticing that the two conditions clash.,Challenging,More than 90 seconds,Conceptual Trap,ORIGINAL,CF-0e9fbb98,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0108,11,2,Mathematical Methods,Vector Product,Unit vector normal to two vectors,Normalising the vector product gives a unit normal to both vectors,A unit vector perpendicular to both i + j and j + k is,(i + j + k) / sqrt(3),(i - j + k) / sqrt(3),(i - j + k) / 3,(i + j - k) / sqrt(3),B,(i - j + k) / sqrt(3),"With P = (1, 1, 0) and Q = (0, 1, 1), the components of P x Q are (1 x 1 - 0 x 1), (0 x 0 - 1 x 1) and (1 x 1 - 1 x 0), that is 1, -1 and 1. Its magnitude is sqrt(3), so the unit normal is (i - j + k) / sqrt(3). A check gives a scalar product of 1 - 1 + 0 = 0 with the first vector and 0 - 1 + 1 = 0 with the second.",Unit normal = (P x Q) / |P x Q|,Students expand the determinant without changing the sign of the middle term.,Challenging,More than 90 seconds,Multi-Step Numerical,ORIGINAL,CF-581ce921,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0109,11,2,Mathematical Methods,Calculus in Physics,Derivative as a rate of change,The derivative of position with respect to time is the instantaneous velocity,"For a particle moving along a straight line with position x at time t, the quantity dx / dt represents",the average velocity of the particle over the whole motion,the instantaneous acceleration of the particle,the total distance travelled by the particle,the instantaneous velocity of the particle,D,the instantaneous velocity of the particle,"The derivative dx / dt is the limit of the ratio of a small change in position to the small time interval in which it occurs, which is the velocity at that instant.",v = dx / dt and a = dv / dt,Students treat the derivative as an average rather than as an instantaneous rate.,Easy,Under 30 seconds,Direct Concept,ORIGINAL,CF-df407d9f,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0110,11,2,Mathematical Methods,Calculus in Physics,Differentiation of a power of t,The power rule for differentiation,The derivative of 5 t^2 with respect to t is,5 t,10 t^2,(5 / 3) t^3,10 t,D,10 t,"Applying the power rule, d(5 t^2) / dt = 5 x 2 x t^(2-1) = 10 t.",d(t^n) / dt = n t^(n-1),Students integrate when the question asks them to differentiate.,Easy,Under 30 seconds,Formula Based,ORIGINAL,CF-4fddc1fd,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0111,11,2,Mathematical Methods,Calculus in Physics,Velocity from a position function,Differentiating the position function and substituting the time gives the instantaneous velocity,"The position of a particle is given by x = 5 t^2 + 3 t, where x is in metre and t in second. Its velocity at t = 2 s is",26 m s^-1,23 m s^-1,20 m s^-1,13 m s^-1,B,23 m s^-1,"v = dx / dt = 10 t + 3. At t = 2 s, v = 10 x 2 + 3 = 23 m s^-1.",v = dx / dt,Students divide the position by the time and report an average velocity as the instantaneous velocity.,Medium,30 to 60 seconds,Numerical,ORIGINAL,CF-14fdc134,4,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0112,11,2,Mathematical Methods,Calculus in Physics,Acceleration from a velocity function,Acceleration is the derivative of velocity with respect to time,The velocity of a particle is v = 3 t^2 + 2 t metre per second. Its acceleration at t = 1 s is,5 m s^-2,6 m s^-2,8 m s^-2,2 m s^-2,C,8 m s^-2,"a = dv / dt = 6 t + 2. At t = 1 s, a = 6 + 2 = 8 m s^-2.",a = dv / dt,Students substitute the time into the velocity expression rather than into its derivative.,Medium,30 to 60 seconds,Numerical,ORIGINAL,CF-b96b33f2,3,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0113,11,2,Mathematical Methods,Calculus in Physics,Integration as area under a graph,The area under a velocity time graph gives the displacement,"For a particle moving in a straight line, the area under its velocity time graph between two instants represents",the displacement during that interval,the acceleration during that interval,the average velocity during that interval,the change in acceleration during that interval,A,the displacement during that interval,"Since v = dx / dt, the displacement is the integral of v with respect to t, and that integral is exactly the area enclosed between the velocity curve and the time axis. Areas below the axis count as negative displacements.",Displacement = integral of v dt,"Students associate the area under the graph with acceleration, confusing area with slope.",Medium,30 to 60 seconds,Graph Concept,ORIGINAL,CF-38231b73,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0114,11,2,Mathematical Methods,Calculus in Physics,Integration of a constant acceleration,Integrating a constant acceleration gives velocity linear in time,A particle starts with velocity u and moves with constant acceleration a. Integrating a with respect to time gives its velocity at time t as,a t,u + a t,u + a t^2 / 2,u t + a t,B,u + a t,"Integrating the constant a with respect to t gives a t plus a constant. Setting t = 0 makes the velocity equal to u, so the constant is u and v = u + a t.","v = integral of a dt = a t + constant, with the constant fixed by v = u at t = 0",Students omit the constant of integration and lose the initial velocity term.,Medium,30 to 60 seconds,Formula Based,ORIGINAL,CF-8f3837b8,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0115,11,2,Mathematical Methods,Calculus in Physics,Instants of zero velocity,Setting the derivative to zero locates the instants of momentary rest,"The position of a particle is x = t^3 - 6 t^2 + 9 t metre, with t in second. The particle is momentarily at rest at",t = 0 s and t = 3 s,t = 2 s only,t = 1 s and t = 3 s,t = 3 s only,C,t = 1 s and t = 3 s,"v = dx / dt = 3 t^2 - 12 t + 9 = 3 (t^2 - 4 t + 3) = 3 (t - 1)(t - 3). This vanishes at t = 1 s and t = 3 s, so the particle is momentarily at rest at those two instants.",The particle is at rest where v = dx / dt = 0,Students set the position equal to zero and report the instants when the particle passes the origin.,Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-14fdc134,4,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0116,11,2,Mathematical Methods,Calculus in Physics,Displacement by integration,Definite integration of velocity over an interval gives the displacement,"A particle moves with velocity v = 6 t^2 metre per second, starting from the origin at t = 0. Its displacement during the first 2 s is",24 m,16 m,8 m,48 m,B,16 m,The integral of 6 t^2 with respect to t is 2 t^3. Evaluating between t = 0 and t = 2 s gives 2 x 8 - 0 = 16 m.,Displacement = integral of v dt from t1 to t2,"Students multiply the final velocity by the total time, which assumes the velocity was constant.",Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-b3d265c1,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0117,11,2,Mathematical Methods,Calculus in Physics,Distance up to the instant of rest,Integrating the velocity up to the instant it vanishes gives the distance covered,A particle moves with velocity v = 10 - 2 t metre per second along a straight line. The distance it covers before coming momentarily to rest is,50 m,37.5 m,25 m,12.5 m,C,25 m,"The particle stops when 10 - 2 t = 0, that is at t = 5 s. The integral of 10 - 2 t is 10 t - t^2, and between t = 0 and t = 5 s this gives 50 - 25 = 25 m.",v = 0 fixes the time; distance = integral of v dt over that interval,Students multiply the initial velocity by the stopping time and forget that the velocity falls steadily to zero.,Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-96996b06,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0118,11,2,Mathematical Methods,Calculus in Physics,Velocity from a time dependent acceleration,"A non constant acceleration must be integrated, not simply multiplied by time",A particle starts from rest and its acceleration varies as a = 6 t metre per second squared. Its velocity at t = 2 s is,24 m s^-1,12 m s^-1,6 m s^-1,8 m s^-1,B,12 m s^-1,"Integrating a = 6 t gives v = 3 t^2 plus a constant, and starting from rest makes the constant zero. At t = 2 s, v = 3 x 4 = 12 m s^-1.","v = integral of a dt, with v = 0 at t = 0",Students use v = u + a t even though the acceleration is not constant.,Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-b96b33f2,3,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0119,11,2,Mathematical Methods,Calculus in Physics,Velocity at a given displacement,The time is found from the position function before the derivative is evaluated,"A particle moves so that its position is x = 4 t^2 metre, with t in second. Its speed at the instant when it has travelled 16 m from the start is",8 m s^-1,16 m s^-1,32 m s^-1,4 m s^-1,B,16 m s^-1,"Setting 4 t^2 = 16 gives t^2 = 4, so t = 2 s. The velocity is v = dx / dt = 8 t, and at t = 2 s this equals 16 m s^-1. The average speed over the same interval is only 16 / 2 = 8 m s^-1, since the motion is accelerated.","v = dx / dt, with t obtained from the given displacement",Students substitute the displacement in place of the time in the velocity expression.,Challenging,More than 90 seconds,Multi-Step Numerical,ORIGINAL,CF-d53890f9,1,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH02-0120,11,2,Mathematical Methods,Calculus in Physics,Maximum velocity from a varying acceleration,The velocity is largest at the instant when the acceleration falls to zero,A particle starts from rest and its acceleration varies with time as a = 4 - 2 t metre per second squared. The maximum velocity it attains is,4 m s^-1,8 m s^-1,2 m s^-1,3 m s^-1,A,4 m s^-1,"Integrating from rest gives v = 4 t - t^2. The velocity is largest where its derivative, the acceleration, vanishes, that is where 4 - 2 t = 0, so t = 2 s. Substituting gives v = 8 - 4 = 4 m s^-1.",v = integral of a dt; v is maximum where dv / dt = a = 0,"Students believe the velocity keeps rising as long as the particle is moving, and evaluate it at the end of the given interval.",Challenging,More than 90 seconds,Multi-Step Numerical,ORIGINAL,CF-b96b33f2,3,PENDING,False,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH03-0001,11,3,Motion in a Plane,Displacement Velocity Acceleration,Position vector,Magnitude of a position vector in two dimensions,The position vector of a particle in the x y plane is r = 3 i + 4 j metre. The distance of the particle from the origin is,5 m,7 m,12 m,1 m,A,5 m,The magnitude of r = 3 i + 4 j is sqrt(3^2 + 4^2) = sqrt(9 + 16) = sqrt(25) = 5 m.,|r| = sqrt(x^2 + y^2),Students add or subtract vector components directly instead of combining them through the square root of the sum of squares.,Easy,Under 30 seconds,Formula Based,ORIGINAL,CF-c294ecb9,2,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH03-0002,11,3,Motion in a Plane,Displacement Velocity Acceleration,Displacement versus distance,Distance and displacement for one complete circular lap,A cyclist completes exactly one full lap of a circular track of radius R and stops at the starting point. The path length covered and the magnitude of the displacement are respectively,2 pi R and zero,zero and 2 pi R,2 pi R and 2 pi R,pi R and 2 R,A,2 pi R and zero,"One lap means the final position coincides with the initial position, so the change in position vector is zero and the displacement magnitude is zero. The length of path actually traversed is the circumference, 2 pi R.",Path length is the actual length travelled; displacement is the change in position vector,Students assume displacement can never be zero if the body has actually moved.,Easy,Under 30 seconds,Comparison Based,ORIGINAL,CF-6b3ab7c3,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH03-0003,11,3,Motion in a Plane,Displacement Velocity Acceleration,Instantaneous velocity,Direction of instantaneous velocity on a curved path,A particle moves along a curved path in a plane. At any instant the direction of its instantaneous velocity is,along the normal to the path at that point,along the chord joining the initial and final positions,along the position vector drawn from the origin,along the tangent to the path at that point,D,along the tangent to the path at that point,"Instantaneous velocity is the limit of the ratio of a small displacement to a small time interval. As the interval shrinks the chord joining the two positions turns into the tangent, so the instantaneous velocity always points along the tangent to the path.","v = dr/dt, the limit of a chord as the interval tends to zero",Students confuse the direction of the average velocity over a finite interval with the direction of the instantaneous velocity.,Easy,Under 30 seconds,Direct Concept,ORIGINAL,CF-18042cc7,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH03-0004,11,3,Motion in a Plane,Displacement Velocity Acceleration,Velocity from position vector,Speed from a position vector linear in time,"The position of a particle varies with time as r = (5 t) i + (12 t) j metre, where t is in second. The speed of the particle is",17 m s^-1,8.5 m s^-1,13 m s^-1,7 m s^-1,C,13 m s^-1,"Differentiating gives v = 5 i + 12 j m s^-1, which is constant. Its magnitude is sqrt(5^2 + 12^2) = sqrt(25 + 144) = sqrt(169) = 13 m s^-1.",v = dr/dt and |v| = sqrt(vx^2 + vy^2),Students add perpendicular components arithmetically instead of using the Pythagorean sum.,Easy,Under 30 seconds,Formula Based,ORIGINAL,CF-14fdc134,4,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH03-0005,11,3,Motion in a Plane,Displacement Velocity Acceleration,Displacement versus distance,General relation between path length and displacement magnitude,"For any motion of a particle between two given instants, the correct relation between the path length s and the magnitude of the displacement d is",d is always exactly equal to s for every kind of motion,d is always greater than s whenever the path is curved,"d is less than or equal to s, with equality only for motion along a straight line in one direction",d is greater than s when the particle reverses its direction of motion,C,"d is less than or equal to s, with equality only for motion along a straight line in one direction","The displacement is the straight line vector joining the initial and final positions, and the straight line is the shortest route between them. Hence the magnitude of the displacement can never exceed the length of the actual path, and the two are equal only when the particle moves along a straight line without reversing.",The straight line is the shortest route between two points,Students believe distance and displacement magnitude are always numerically the same.,Easy,Under 30 seconds,Statement Based,ORIGINAL,CF-16c970bc,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH03-0006,11,3,Motion in a Plane,Displacement Velocity Acceleration,Average velocity,Average velocity between two position vectors,"A particle moves from the point (2 m, 3 m) to the point (6 m, 6 m) in 5 s. The magnitude of its average velocity is",1.4 m s^-1,1 m s^-1,2 m s^-1,0.2 m s^-1,B,1 m s^-1,"The displacement is (6 - 2) i + (6 - 3) j = 4 i + 3 j m, whose magnitude is sqrt(16 + 9) = 5 m. Dividing by 5 s gives an average velocity of magnitude 1 m s^-1.",v_average = (r2 - r1) / t,Students add displacement components arithmetically rather than using the resultant.,Medium,30 to 60 seconds,Numerical,ORIGINAL,CF-6130426f,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH03-0007,11,3,Motion in a Plane,Displacement Velocity Acceleration,Velocity from position vector,Differentiating a quadratic position vector,The position of a particle is r = (3 t^2) i + (4 t^2) j metre with t in second. Its speed at t = 1 s is,10 m s^-1,5 m s^-1,14 m s^-1,20 m s^-1,A,10 m s^-1,"Differentiating gives v = (6 t) i + (8 t) j m s^-1. At t = 1 s this is 6 i + 8 j m s^-1, whose magnitude is sqrt(36 + 64) = 10 m s^-1.","v = dr/dt, |v| = sqrt(vx^2 + vy^2)",Students substitute the time into the position expression and report a distance where a speed is asked for.,Medium,30 to 60 seconds,Numerical,ORIGINAL,CF-14fdc134,4,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH03-0008,11,3,Motion in a Plane,Displacement Velocity Acceleration,Average acceleration,Average acceleration when only the direction of velocity changes,"A car moving due east at 20 m s^-1 turns and, 5 s later, is moving due north at 20 m s^-1. The magnitude of its average acceleration during this interval is",zero,8 m s^-2,4 sqrt 2 m s^-2,4 m s^-2,C,4 sqrt 2 m s^-2,"Taking east as i and north as j, v1 = 20 i and v2 = 20 j m s^-1. The change in velocity is v2 - v1 = -20 i + 20 j m s^-1, of magnitude 20 sqrt 2 m s^-1. Dividing by 5 s gives 4 sqrt 2 m s^-2, about 5.7 m s^-2, directed towards the north west.",a_average = (v2 - v1) / t,Students treat velocity as a scalar and conclude that equal speeds imply zero acceleration.,Medium,30 to 60 seconds,Numerical,ORIGINAL,CF-856f8758,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH03-0009,11,3,Motion in a Plane,Displacement Velocity Acceleration,Acceleration in two dimensions,Acceleration of a particle moving at constant speed along a curve,A particle moves along a curved path in a plane with constant speed. Which statement about its acceleration is correct,The acceleration is non zero and points towards the concave side of the path,The acceleration is zero because the speed does not change,The acceleration is non zero and points along the direction of motion,The acceleration is non zero and points opposite to the direction of motion,A,The acceleration is non zero and points towards the concave side of the path,"Acceleration is the rate of change of the velocity vector. With constant speed the tangential part vanishes, but the direction of the velocity keeps turning, so a normal component survives. That normal component always points towards the centre of curvature, that is towards the concave side of the path.",Acceleration has a tangential part that changes speed and a normal part that changes direction,"Students equate constant speed with zero acceleration, forgetting that velocity is a vector.",Medium,30 to 60 seconds,Conceptual Trap,ORIGINAL,CF-06a2b8e3,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH03-0010,11,3,Motion in a Plane,Displacement Velocity Acceleration,Average speed and average velocity,Ratio of average speed to average velocity for a semicircular path,A particle travels along a semicircular arc of radius R from one end of a diameter to the other. The ratio of its average speed to the magnitude of its average velocity for this trip is,2 / pi,pi,pi / 2,1,C,pi / 2,"For the same time interval t the path length is pi R and the displacement magnitude is the diameter 2 R. The ratio of average speed to the magnitude of average velocity is therefore (pi R / t) divided by (2 R / t), which is pi / 2, about 1.57.",Average speed = path length / time; average velocity = displacement / time,"Students invert the ratio, or use the full circumference for a semicircular arc.",Medium,30 to 60 seconds,Comparison Based,ORIGINAL,CF-07620958,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH03-0011,11,3,Motion in a Plane,Displacement Velocity Acceleration,Displacement versus distance,Distance and displacement for a three leg journey,"A boy walks 3 m due east, then 4 m due north, and finally 3 m due west. For the whole journey the magnitude of his displacement and the distance he walked are",4 m and 10 m,10 m and 10 m,5 m and 10 m,4 m and 4 m,A,4 m and 10 m,"Taking east as i and north as j, the legs are 3 i, 4 j and -3 i metre. Their vector sum is 4 j metre, so the displacement is 4 m due north. The distance walked is 3 + 4 + 3 = 10 m.",Displacement is the vector sum of the legs; distance is the sum of their lengths,"Students add the leg lengths to obtain displacement, ignoring that opposite legs cancel.",Medium,30 to 60 seconds,Numerical,ORIGINAL,CF-46691ce4,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH03-0012,11,3,Motion in a Plane,Displacement Velocity Acceleration,Velocity components,Instant at which a velocity vector becomes parallel to an axis,The velocity of a particle in a plane is v = (4 - 2 t) i + 3 j m s^-1 with t in second. The velocity is directed along the y axis at,t = 4 s,t = 1.5 s,t = 3 s,t = 2 s,D,t = 2 s,"The velocity points along the y axis when its x component vanishes, that is when 4 - 2 t = 0, giving t = 2 s. At that instant v = 3 j m s^-1.",A vector points along the y axis when its x component is zero,Students set the two components equal instead of setting the unwanted component to zero.,Medium,30 to 60 seconds,Numerical,ORIGINAL,CF-a2e737e0,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH03-0013,11,3,Motion in a Plane,Displacement Velocity Acceleration,Uniform acceleration in a plane,Speed at an intermediate instant under constant acceleration,A particle moving in a plane with constant acceleration has velocity 3 i + 4 j m s^-1 at t = 0 and 3 i - 4 j m s^-1 at t = 4 s. Its speed at t = 2 s is,3 m s^-1,5 m s^-1,zero,4 m s^-1,A,3 m s^-1,"The change in velocity over 4 s is (3 i - 4 j) - (3 i + 4 j) = -8 j m s^-1, so a = -2 j m s^-2. At t = 2 s the velocity is 3 i + (4 - 2 x 2) j = 3 i + 0 j m s^-1, so the speed is 3 m s^-1.",a = (v2 - v1) / t and v = u + a t applied component by component,Students assume that equal initial and final speeds mean the speed was constant throughout.,Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-4d4a5ad3,4,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
PHY-11-CH03-0014,11,3,Motion in a Plane,Displacement Velocity Acceleration,Displacement versus distance,Ratio of path length to displacement for a quarter circle,"A particle moves along a circle of radius 5 m from the point (5 m, 0) to the point (0, 5 m), the centre being at the origin. The ratio of the path length travelled to the magnitude of its displacement is","pi / 2, about 1.57","pi / (2 sqrt 2), about 1.11","2 sqrt 2 / pi, about 0.90",1,B,"pi / (2 sqrt 2), about 1.11","The quarter arc has length (1/4)(2 pi x 5) = 2.5 pi = 7.85 m. The displacement is the chord joining (5, 0) to (0, 5), of magnitude sqrt(25 + 25) = 5 sqrt 2 = 7.07 m. The ratio is 7.85 / 7.07 = pi / (2 sqrt 2), about 1.11.",Quarter arc length = (1/4)(2 pi R); chord of a quarter circle = R sqrt 2,Students use the diameter as the displacement for a quarter circle instead of the chord R sqrt 2.,Hard,60 to 90 seconds,Multi-Step Numerical,ORIGINAL,CF-dcc2af59,1,IN_SCOPE,True,True,MODEL_VERIFIED,MHT-CET 2026,1.1.2
